TOA5,CR1000_soil,CR1000,43125,CR1000.Std.22,CPU:Soil_sensors.CR1,4927,Soil,,,,,,,,
TIMESTAMP,RECORD,VW_Avg,VW_2_Avg,VW_3_Avg,Temp_C_Avg,Temp_C_2_Avg,Temp_C_3_Avg,Temp_C_4_Avg,PTemp_C_Avg,shf_Avg,shf_2_Avg,Batt_Volt_Avg,PA_uS_Avg,PA_uS_2_Avg,PA_uS_3_Avg
TS,RN,,,,Deg C,Deg C,Deg C,Deg C,Deg C,W/m^2,W/m^2,Volts,uSec,uSec,uSec
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
2012-02-27 15:30:00,0,-0.002,-0.001,-0.003,25.8,25.95,25.65,26.06,26.13,24.48874,25.19082,13.02,15.1,15.13,14.99
2012-02-27 16:00:00,1,-0.002,-0.002,-0.003,25.62,25.54,25.39,25.91,26.47,17.27148,19.05349,13.04,15.08,15.08,14.99
2012-02-27 16:30:00,2,0.014,0,0.014,25.67,25.64,25.47,26.25,26.13,-0.3234586,0.5994549,13.21,16.13,15.23,16.14
2012-03-02 12:30:00,3,0.115,0.612,0.896,22.25,17.09,16.36,16.79,27.36,123.4689,71.64558,12.48,21.23,35.96,41.85
2012-03-02 13:00:00,4,0.117,0.615,0.896,23.45,18.26,16.57,16.85,26.08,120.5823,68.69196,12.46,21.29,36.01,41.85
2012-03-02 13:30:00,5,0.118,0.618,0.896,24.61,19.14,16.65,16.9,25.84,120.1089,66.71262,12.46,21.34,36.08,41.85
2012-03-02 14:00:00,6,0.119,0.621,0.896,25.74,19.95,16.83,16.95,27.02,123.4981,70.96608,12.46,21.38,36.15,41.86
2012-03-02 14:30:00,7,0.12,0.624,0.897,26.22,20.49,17.28,17.13,25.93,106.2799,63.83652,12.45,21.42,36.22,41.86
2012-03-02 15:00:00,8,0.121,0.627,0.897,26.6,21.41,17.22,17.08,25.61,96.98267,56.06366,12.45,21.45,36.3,41.87
2012-03-02 15:30:00,9,0.121,0.631,0.897,26.98,21.96,17.55,17.18,27.89,82.80067,49.858,12.44,21.47,36.38,41.87
2012-03-02 16:00:00,10,0.121,0.635,0.898,26.77,22.37,17.92,17.37,28.2,54.83213,37.37196,12.45,21.48,36.46,41.88
2012-03-02 16:30:00,11,0.121,0.638,0.898,26.23,22.65,18.23,17.53,27.74,35.53776,24.55609,12.45,21.48,36.54,41.89
2012-03-02 17:00:00,12,0.121,0.641,0.899,25.39,22.74,18.56,17.73,26.61,13.00354,11.151,12.45,21.47,36.61,41.9
2012-03-02 17:30:00,13,0.12,0.644,0.899,24.18,22.64,18.87,17.92,24.89,-21.12092,-5.989982,12.45,21.44,36.68,41.91
2012-03-02 18:00:00,14,0.119,0.647,0.9,22.49,22.2,19.17,18.1,23.48,-56.61672,-24.2544,12.46,21.4,36.74,41.93
2012-03-02 18:30:00,15,0.118,0.65,0.901,20.36,21.33,19.52,18.4,19.89,-78.07317,-40.99002,12.45,21.36,36.8,41.94
2012-03-02 19:00:00,16,0.117,0.649,0.9,18.44,20.55,19.62,18.53,16.72,-85.38554,-49.85094,12.47,21.31,36.77,41.93
2012-03-02 19:30:00,17,0.116,0.649,0.901,16.78,19.74,19.67,18.69,14.77,-84.67718,-55.7036,12.48,21.26,36.79,41.94
2012-03-02 20:00:00,18,0.115,0.65,0.902,15.48,18.95,19.61,18.79,13.66,-83.29802,-57.12175,12.49,21.22,36.8,41.96
2012-03-02 20:30:00,19,0.114,0.65,0.902,14.39,18.26,19.52,18.9,12.41,-82.49767,-58.06208,12.5,21.18,36.8,41.97
2012-03-02 21:00:00,20,0.113,0.649,0.903,13.43,17.58,19.38,18.96,11.23,-80.24802,-58.13541,12.51,21.14,36.79,41.98
2012-03-02 21:30:00,21,0.113,0.649,0.903,12.68,16.99,19.19,18.99,10.63,-76.51661,-55.75112,12.5,21.11,36.77,41.99
2012-03-02 22:00:00,22,0.112,0.647,0.904,12.06,16.44,18.98,19,10.17,-73.99231,-54.05608,12.51,21.09,36.74,41.99
2012-03-02 22:30:00,23,0.112,0.646,0.904,11.47,15.93,18.77,18.98,9.68,-78.24797,-54.98944,12.51,21.06,36.71,42
2012-03-02 23:00:00,24,0.111,0.644,0.904,10.79,15.45,18.55,18.97,8.68,-78.71201,-56.53272,12.52,21.04,36.68,42
2012-03-02 23:30:00,25,0.11,0.643,0.904,10.19,14.98,18.33,18.93,7.94,-76.26727,-55.96362,12.52,21.01,36.64,42
2012-03-03 00:00:00,26,0.11,0.641,0.904,9.69,14.55,18.09,18.87,7.429,-76.59747,-55.52727,12.53,20.99,36.6,42
2012-03-03 00:30:00,27,0.109,0.639,0.904,9.21,14.12,17.85,18.8,7.131,-70.76579,-52.83345,12.51,20.97,36.55,42
2012-03-03 01:00:00,28,0.109,0.637,0.904,9.02,13.74,17.57,18.65,7.914,-63.37591,-48.7894,12.53,20.96,36.51,41.99
2012-03-03 01:30:00,29,0.109,0.635,0.903,9.15,13.45,17.32,18.52,9.11,-58.31249,-42.21836,12.52,20.94,36.46,41.99
2012-03-03 02:00:00,30,0.109,0.632,0.903,9.05,13.25,17.1,18.43,9.03,-67.40703,-43.3041,12.52,20.93,36.41,41.98
2012-03-03 02:30:00,31,0.108,0.63,0.903,8.53,12.97,16.9,18.35,7.907,-67.50285,-47.47058,12.52,20.92,36.37,41.97
